"","Sku","Sal","Str","Std","Spd","Sda","Smr1","Sds","Sbi","Svi","Smean","SWt","Stdi","Maximumdepth","Meandensity"
"82",4.126562898,3.128832263,0.705758813,176.4976188,0.008984804,107.3009128,8.510082303,0.019631609,0.87318384,0.159223753,-0.014722193,0.026294349,0.677106228,0.643725482,1199.465499
"83",3.987503516,3.118813219,0.669724265,20.24419417,0.008147555,105.7881108,10.06872263,0.018544435,1.053936929,0.151508999,-0.011394355,0.054090998,0.680333343,0.791008978,1183.769001
"84",3.76359944,2.892925684,0.557739425,171.4955555,0.007647705,113.035091,9.934788689,0.017019892,0.877046155,0.148949228,-0.016171741,0.037632899,0.475662345,0.826126643,1183.45481
"85",5.327108609,3.057801926,0.729499449,10.99895146,0.00869739,98.78218947,17.50789335,0.018219532,0.441278725,0.095798685,0.018203243,0.053520998,0.749373433,0.630057649,1176.75868
"86",5.270905388,2.993038968,0.706916504,163.2470369,0.009172247,96.37555212,15.16302197,0.01809457,0.462610257,0.097638921,0.016007488,0.041081699,0.686736935,0.513849986,1182.593055
"87",4.886176623,3.053300969,0.72784937,176.2532388,0.00969709,106.2996997,9.585212664,0.020368887,0.849331003,0.170844189,-0.01655954,0.046687499,0.688896368,0.623831982,1213.424657
"88",4.799887585,2.918565475,0.697687983,166.9980175,0.009622112,104.4489744,10.60318352,0.019769067,0.82252967,0.1721384,-0.018495845,0.038648199,0.729307232,0.71847998,1209.844178
"89",5.303142691,3.042888142,0.73303614,171.4940349,0.00969709,97.02892324,10.869424,0.019669097,0.830730828,0.181325834,-0.016403581,0.024206999,0.635061786,0.528945985,1216.291731
"90",6.030939208,3.014350752,0.728255836,171.2513365,0.009422172,102.1903104,10.71660873,0.020368887,0.769033354,0.173763524,-0.016223811,0.040696399,0.695763059,0.671982981,1196.624639
"91",4.785486694,3.095151997,0.737225492,164.7579564,0.009072277,105.1322334,10.92454687,0.018744375,1.026010823,0.173890884,-0.01303233,0.025934199,0.769471509,0.592519983,1193.551067
"92",5.877902561,3.092531266,0.646660577,7.997811839,0.0079976,117.2981977,10.56879763,0.01909427,0.831085766,0.178257702,-0.016999206,0.060368998,0.625897523,0.741251979,1191.378468
"93",4.706281476,3.108520395,0.685726543,168.2486867,0.009122262,106.1102914,9.543857343,0.019319202,0.789007047,0.1718667,-0.014174794,0.037198599,0.714900631,0.590963983,1195.386601
"94",5.435718014,3.035862101,0.733589096,42.74252522,0.010046985,93.29482072,9.800388218,0.01959412,1.007693918,0.183633853,-0.017362767,0.034449499,0.695676958,0.602924983,1239.378746
"95",5.293382027,2.942443285,0.739874111,163.4920102,0.010446865,94.42575034,11.43664322,0.020743775,0.759764869,0.166688318,-0.012807182,0.035174599,0.686813192,0.642270982,1194.637613
"96",4.513395833,3.120900234,0.729762007,176.4929488,0.009322202,108.4093984,9.415013454,0.020143955,0.772451031,0.172549886,-0.016374782,0.024354199,0.667707881,0.569192984,1201.720508
"97",4.551013846,3.105723277,0.708332842,163.2566801,0.009122262,102.9131896,9.680904875,0.020543835,0.752840871,0.165672082,-0.016191496,0.023999999,0.737519196,0.604414983,1200.174794
"98",4.795203911,3.07569277,0.713299451,3.009995155,0.00929721,104.216363,10.84531821,0.02049385,0.777722679,0.173857178,-0.01736273,0.045013999,0.617810194,0.632216982,1214.557679
"99",6.249969326,2.84924244,0.674561657,177.4851371,0.008272517,97.14284908,18.11795274,0.017944615,0.402139021,0.096421647,0.019102557,0.051975999,0.73111253,0.575452984,1188.923043
"100",6.249292277,3.018943458,0.623211551,163.2660053,0.00769769,105.8072003,16.41018497,0.018469457,0.412157822,0.096027156,0.018328931,0.033582999,0.654341798,0.556311984,1167.172662
"101",5.230605635,3.132993015,0.695768822,3.49750232,0.008522442,106.9271301,10.70530734,0.018619412,0.838741043,0.181545091,-0.017787668,0.039552499,0.58531902,0.622992649,1209.397212
"102",5.976250775,2.984670776,0.688733697,173.2490873,0.008247525,119.2441392,11.75426219,0.018569427,0.870833757,0.188548095,-0.020782697,0.037042799,0.670983901,0.696041647,1203.542052
"103",6.06946847,3.242340839,0.66907057,13.00724456,0.009522142,101.9285893,10.16047077,0.020368887,0.918979823,0.187230026,-0.014359178,0.024914199,0.583238811,0.417496988,1226.284447
"104",5.38825409,3.046370327,0.708213743,176.2500729,0.009072277,102.5686332,10.85104955,0.020643805,0.749848246,0.184188191,-0.018724872,0.038619999,0.710746894,0.551968484,1223.320133
"105",5.764738506,3.078823738,0.718444472,8.496308215,0.008622412,109.3497238,12.02735935,0.01919424,0.817118446,0.187548313,-0.014373283,0.032144499,0.712579434,0.528577985,1222.442682
"106",5.839035407,3.025170127,0.621486935,176.7578357,0.008122562,120.0650738,11.30890675,0.019144255,0.794733189,0.18683655,-0.021734625,0.058114998,0.579206612,0.765129978,1206.827138
"107",5.669992456,3.292347744,0.691591902,16.25011578,0.008272517,128.8921156,10.39741911,0.01949415,0.684839408,0.185766394,-0.015146581,0.043120999,0.642889407,0.560935984,1187.680499
"108",6.110496972,3.194965842,0.753806153,8.999899729,0.010171947,94.6997709,9.077485987,0.020218932,1.030599055,0.191626418,-0.015523585,0.031847199,0.693975963,0.492302986,1206.67466
