"TOOL","N_subareas","HOURS_mean","HOURS_median","HOURS_sd","HOURS_mad","STEMS_mean","STEMS_median","STEMS_sd","STEMS_mad","GRAIN_G_PER_STEM","GRAIN_G_mean","GRAIN_G_median","GRAIN_KG_mean","GRAIN_KG_median","GRAIN_KG_sd","GRAIN_KG_mad"
"UW37",26,19.3012,20.4857166666667,6.16655593337697,6.94358413000001,73296.307,77794.5090416666,23417.496156999,26368.260733675,0.3,21988.8921,23338.3527125,21.9888921,23.3383527125,7.02524884709971,7.91047822010251
"UW38",20,26.7464533333333,27.4574833333333,1.90594049612878,1.24936230999999,101569.656533333,104269.792958333,7237.80903404902,4744.45337222497,0.3,30470.89696,31280.9378875,30.47089696,31.2809378875,2.17134271021471,1.42333601166749
"UW39",14,7.4429,7.57236666666667,1.7417378117232,1.17115516,28264.41275,28756.0624166667,6614.24934001886,4447.4617201,0.3,8479.323825,8626.818725,8.479323825,8.626818725,1.98427480200566,1.33423851603
"UW40",16,16.8439,17.79355,6.67511694134212,4.17013373,63964.71025,67571.006125,25348.7565847467,15836.082839675,0.3,19189.413075,20271.3018375,19.189413075,20.2713018375,7.60462697542401,4.7508248519025
"UW42",22,12.0914060606061,9.93986666666667,8.26992471237322,8.05024619000001,45917.1145151515,37746.6436666667,31405.0390952373,30570.809906525,0.3,13775.1343545455,11323.9931,13.7751343545455,11.3239931,9.4215117285712,9.17124297195751
"UW43",12,23.8833916666667,24.1165833333333,4.23539893097093,4.95756730000002,90697.1798541667,91582.7252083333,16083.9274403621,18826.3618217501,0.3,27209.15395625,27474.8175625,27.20915395625,27.4748175625,4.82517823210864,5.64790854652502
"UW44",14,16.7017833333333,15.2032333333333,4.86390379497733,3.51803683,63425.0222083333,57734.2785833333,18470.6746614264,13359.744861925,0.3,19027.5066625,17320.283575,19.0275066625,17.320283575,5.54120239842792,4.0079234585775
"UW45",22,9.16916818181818,8.95895,5.12415973400783,4.21295616,34819.9161704545,34021.612625,19458.9965898948,15998.7010176,0.3,10445.9748511364,10206.4837875,10.4459748511364,10.2064837875,5.83769897696842,4.79961030528
"UW46",20,21.25191,21.72405,5.86538340206572,7.07405293000002,80704.128225,82497.0798750001,22273.7934693446,26863.7160016751,0.3,24211.2384675,24749.1239625,24.2112384675,24.7491239625,6.68213804080337,8.05911480050253
"UW47",23,25.3019884057971,25.8269,2.56277899630457,1.53206942,96084.3009710145,98077.65275,9732.15323846661,5818.03362245001,0.3,28825.2902913044,29423.295825,28.8252902913044,29.423295825,2.91964597153998,1.745410086735
"UW48",23,23.4897376811594,26.9317333333333,6.0551346268788,2.57715416,89202.2788442029,102273.257333333,22994.3737455723,9786.7429226,0.3,26760.6836532609,30681.9772,26.7606836532609,30.6819772,6.89831212367168,2.93602287678
"UW49",18,16.1179925925926,13.93175,6.24184969182748,4.26586027,61208.0768703704,52905.820625,23703.4242047148,16199.604375325,0.3,18362.4230611111,15871.7461875,18.3624230611111,15.8717461875,7.11102726141445,4.8598813125975
"UW50",28,24.2163130952381,23.9941833333333,3.06527679548679,2.79620831,91961.4489791667,91117.9112083333,11640.3886308611,10618.601057225,0.3,27588.43469375,27335.3733625,27.58843469375,27.3353733625,3.49211658925832,3.18558031716751
"UW7",12,24.3850305555556,27.9400333333333,8.64777807719508,1.21523779999999,92602.1535347223,106102.276583333,32839.9372481483,4614.86554549996,0.3,27780.6460604167,31830.682975,27.7806460604167,31.830682975,9.8519811744445,1.38445966364999
"UW8",22,5.02168787878788,2.80593333333333,5.72240776199626,2.14406199,19069.859719697,10655.5318333333,21730.8434761808,8142.075407025,0.3,5720.95791590909,3196.65955,5.72095791590909,3.19665955,6.51925304285424,2.4426226221075
"UW9",15,11.9995555555556,12.4142666666667,2.92299871385824,3.37924075999999,45568.3122222222,47143.1776666667,11100.0876158767,12832.6667861,0.3,13670.4936666667,14142.9533,13.6704936666667,14.1429533,3.330026284763,3.84980003582999
